,Breakpoint,SubjectID,Group,ProgFI
0,0.21567511472875267,21,Base20,5.0
1,0.2952455728900948,21,Base20,5.73
2,0.31706504256591533,21,Base20,7.86
3,0.34495647507974647,21,Base20,11.18
4,0.3608076635167104,21,Base20,15.36
5,0.4248163590934309,21,Base20,20.0
6,0.40596963757968274,21,Base20,24.64
7,0.42392620072274384,21,Base20,28.82
8,0.4606319014995967,21,Base20,32.14
9,0.48474586989115087,21,Base20,34.27
10,0.49633845651872205,21,Base20,35.0
11,0.33467123307678726,22,Base40,10.0
12,0.2935017829085986,22,Base40,11.47
13,0.3673453942424168,22,Base40,15.73
14,0.3842996779873398,22,Base40,22.37
15,0.43700348980156717,22,Base40,30.73
16,0.3199253666308519,22,Base40,40.0
17,0.4391341766799922,22,Base40,49.27
18,0.4559672003317472,22,Base40,57.63
19,0.965175960856651,22,Base40,64.27
20,0.4167329275619125,22,Base40,68.53
21,0.5007438937106017,22,Base40,70.0
22,0.33099594711077035,23,Base20,5.0
23,0.32839645330630646,23,Base20,5.73
24,0.36157220526634865,23,Base20,7.86
25,0.3924873520430446,23,Base20,11.18
26,0.39643647768646184,23,Base20,15.36
27,0.41792845340276674,23,Base20,20.0
28,0.39860444699826797,23,Base20,24.64
29,0.3294968327863944,23,Base20,28.82
30,0.34666418741577576,23,Base20,32.14
31,0.3852587253434297,23,Base20,34.27
32,0.3414677078207108,23,Base20,35.0
33,0.19774066012725564,24,Base40,10.0
34,0.2737836969797526,24,Base40,11.47
35,0.30523448338899967,24,Base40,15.73
36,0.3922827068487567,24,Base40,22.37
37,0.48885704532212537,24,Base40,30.73
38,1.0772765098243142,24,Base40,40.0
39,0.37744318160923446,24,Base40,49.27
40,0.37780186375622143,24,Base40,57.63
41,0.4196751251694331,24,Base40,64.27
42,0.42367250360322006,24,Base40,68.53
43,0.3850969665837617,24,Base40,70.0
44,0.2922733914843794,25,Base40,10.0
45,0.26398273351148893,25,Base40,11.47
46,0.2693706707983738,25,Base40,15.73
47,0.250447788806024,25,Base40,22.37
48,0.3213319861106712,25,Base40,30.73
49,0.2736103850747447,25,Base40,40.0
50,0.27480630238239273,25,Base40,49.27
51,0.22289573438313925,25,Base40,57.63
52,0.2185643843077249,25,Base40,64.27
53,0.26389646323152294,25,Base40,68.53
54,0.23896257343191366,25,Base40,70.0
55,0.33700477799374134,26,Base20,5.0
56,0.44382078741794456,26,Base20,5.73
57,0.3768988057853451,26,Base20,7.86
58,0.37241506024933785,26,Base20,11.18
59,0.406000042548837,26,Base20,15.36
60,0.40451007907532427,26,Base20,20.0
61,0.4147585802684585,26,Base20,24.64
62,0.3851928582885489,26,Base20,28.82
63,0.38338360819229605,26,Base20,32.14
64,0.35474091518660883,26,Base20,34.27
65,0.32734109397264805,26,Base20,35.0
66,0.36419885197631896,27,Base40,10.0
67,0.2723643381774779,27,Base40,11.47
68,0.321276657733368,27,Base40,15.73
69,0.4095783111298366,27,Base40,22.37
70,0.4593994897868286,27,Base40,30.73
71,0.4827147218946441,27,Base40,40.0
72,0.4059437114256937,27,Base40,49.27
73,0.4266922449373246,27,Base40,57.63
74,0.3655400732302471,27,Base40,64.27
75,0.34556749742989545,27,Base40,68.53
76,0.39287913752848497,27,Base40,70.0
77,0.29474728461002825,28,Base20,5.0
78,0.38457114122786457,28,Base20,5.73
79,0.47523238116974625,28,Base20,7.86
80,0.38214511998978634,28,Base20,11.18
81,0.3753501279539111,28,Base20,15.36
82,0.42554100904279263,28,Base20,20.0
83,0.31403013505071126,28,Base20,24.64
84,0.34798498092424374,28,Base20,28.82
85,0.3126165341485651,28,Base20,32.14
86,0.2914080721823903,28,Base20,34.27
87,0.3391623343491906,28,Base20,35.0
88,0.5530382311689935,29,Base40,10.0
89,0.5255745645026191,29,Base40,11.47
90,0.5304103210737825,29,Base40,15.73
91,0.5512874308769518,29,Base40,22.37
92,0.49833294452162774,29,Base40,30.73
93,0.5480031256721615,29,Base40,40.0
94,0.574814469387981,29,Base40,49.27
95,0.42531577565286494,29,Base40,57.63
96,0.46446159195299613,29,Base40,64.27
97,0.4244854776759251,29,Base40,68.53
98,0.4293522145099919,29,Base40,70.0
99,0.43881394729473133,30,Base20,5.0
100,0.3530289608092731,30,Base20,5.73
101,0.3220072390688409,30,Base20,7.86
102,0.37201955951085386,30,Base20,11.18
103,0.44855654788106536,30,Base20,15.36
104,0.41779942278161314,30,Base20,20.0
105,0.5242437062442855,30,Base20,24.64
106,0.5421981221708995,30,Base20,28.82
107,0.5665450682727833,30,Base20,32.14
108,0.5711246782584778,30,Base20,34.27
109,0.5764800595510389,30,Base20,35.0
110,0.35552214287559225,31,Base40,10.0
111,0.3249075146728334,31,Base40,11.47
112,0.3530350347246544,31,Base40,15.73
113,0.3715156528396421,31,Base40,22.37
114,0.4046536496741334,31,Base40,30.73
115,0.3865016211203668,31,Base40,40.0
116,0.4206051718804724,31,Base40,49.27
117,0.4033766577151692,31,Base40,57.63
118,0.4088912400242794,31,Base40,64.27
119,0.3617187949541909,31,Base40,68.53
120,0.3767027585106008,31,Base40,70.0
121,0.2588375719467614,32,Base20,5.0
122,0.19873506023270385,32,Base20,5.73
123,0.2101572785385728,32,Base20,7.86
124,0.41338841275258387,32,Base20,11.18
125,0.3471614671681829,32,Base20,15.36
126,0.3561809452976229,32,Base20,20.0
127,0.3597591382360388,32,Base20,24.64
128,0.3708781532612575,32,Base20,28.82
129,0.4585125419718011,32,Base20,32.14
130,0.40085007035471354,32,Base20,34.27
131,0.41430118432824653,32,Base20,35.0
132,0.13940761508014865,33,Base20,5.0
133,0.22097465338450287,33,Base20,5.73
134,0.26152086927529244,33,Base20,7.86
135,0.3471695408727142,33,Base20,11.18
136,0.32965701547703147,33,Base20,15.36
137,0.6443596960433449,33,Base20,20.0
138,0.3861500864496477,33,Base20,24.64
139,0.39019450026273284,33,Base20,28.82
140,0.36465704414893296,33,Base20,32.14
141,0.6285342474043578,33,Base20,34.27
142,0.33708141822906507,33,Base20,35.0
143,0.15684255160369023,34,Base40,10.0
144,0.2163980430790981,34,Base40,11.47
145,0.2325314397540775,34,Base40,15.73
146,0.3455247894274035,34,Base40,22.37
147,0.37155291414367975,34,Base40,30.73
148,0.37718717339794944,34,Base40,40.0
149,0.370947626487999,34,Base40,49.27
150,0.33812015421731,34,Base40,57.63
151,0.3783602477521343,34,Base40,64.27
152,0.42361842605538985,34,Base40,68.53
153,0.3786473417484488,34,Base40,70.0
154,0.3572841850818224,35,Base20,5.0
155,0.7102780957341486,35,Base20,5.73
156,0.45780724217105956,35,Base20,7.86
157,0.578225973293272,35,Base20,11.18
158,0.581107553593018,35,Base20,15.36
159,0.5809276649247088,35,Base20,20.0
160,0.40813513330300805,35,Base20,24.64
161,0.47559873165346495,35,Base20,28.82
162,0.4744840780208037,35,Base20,32.14
163,0.5076216464922773,35,Base20,34.27
164,0.4444133335909575,35,Base20,35.0
165,0.2958556390537953,36,Base40,10.0
166,0.3864956712192186,36,Base40,11.47
167,0.4571295529371094,36,Base40,15.73
168,0.4425882956296094,36,Base40,22.37
169,0.5884407785980303,36,Base40,30.73
170,0.44172309059063636,36,Base40,40.0
171,0.4427615332826103,36,Base40,49.27
172,0.42525646719876464,36,Base40,57.63
173,0.36076769873452585,36,Base40,64.27
174,0.32724940605199443,36,Base40,68.53
175,0.3234812678310072,36,Base40,70.0
176,0.5383696304299546,177,Base60,15.0
177,0.49088021531485393,177,Base60,17.2
178,0.7162669470342397,177,Base60,23.59
179,0.5476046978630397,177,Base60,33.55
180,0.47463769331045075,177,Base60,46.09
181,0.41568999425056785,177,Base60,60.0
182,0.38182140467721226,177,Base60,73.91
183,0.30982860076430013,177,Base60,86.45
184,0.2702632470675864,177,Base60,96.41
185,0.2510469785551595,177,Base60,102.8
186,0.271715390420229,177,Base60,105.0
187,0.16144113255905013,178,Base60,15.0
188,0.2478002852071063,178,Base60,17.2
189,0.2699969268280655,178,Base60,23.59
190,0.3118628702737983,178,Base60,33.55
191,0.3091383905178765,178,Base60,46.09
192,0.2782020436478335,178,Base60,60.0
193,0.2667886853143554,178,Base60,73.91
194,0.26804148422906704,178,Base60,86.45
195,0.2599130524962832,178,Base60,96.41
196,0.2713222729418748,178,Base60,102.8
197,0.197856307314374,178,Base60,105.0
198,0.27518766021635926,179,Base60,15.0
199,0.28727508459641193,179,Base60,17.2
200,0.30321482362198765,179,Base60,23.59
201,0.43871744944259194,179,Base60,33.55
202,0.47030717371493747,179,Base60,46.09
203,0.463869400328591,179,Base60,60.0
204,0.4424225549143761,179,Base60,73.91
205,0.3485293676446915,179,Base60,86.45
206,0.3558810820880724,179,Base60,96.41
207,0.271812398800703,179,Base60,102.8
208,0.2735837657939673,179,Base60,105.0
209,0.3607440805512021,180,Base60,15.0
210,0.32326147953735446,180,Base60,17.2
211,0.41298606968216595,180,Base60,23.59
212,0.49336728725358714,180,Base60,33.55
213,0.5106662019047189,180,Base60,46.09
214,0.5119455173942864,180,Base60,60.0
215,0.3858264244372835,180,Base60,73.91
216,0.3110516162170463,180,Base60,86.45
217,0.22949012931566562,180,Base60,96.41
218,0.24579612690719,180,Base60,102.8
219,0.22876360753639557,180,Base60,105.0
220,0.3004221455179774,181,Base60,15.0
221,0.3724245388478973,181,Base60,17.2
222,0.3458938559482666,181,Base60,23.59
223,0.4467445798886137,181,Base60,33.55
224,0.3821688457455431,181,Base60,46.09
225,0.34390347949742955,181,Base60,60.0
226,0.28152739717156033,181,Base60,73.91
227,0.2637313304121099,181,Base60,86.45
228,0.30714614260697753,181,Base60,96.41
229,0.3007137589171492,181,Base60,102.8
230,0.19681731976527297,181,Base60,105.0
231,0.20333115479050975,182,Base60,15.0
232,0.2135844213507291,182,Base60,17.2
233,0.26244007064620833,182,Base60,23.59
234,0.25301862151080784,182,Base60,33.55
235,0.27293355384409745,182,Base60,46.09
236,0.31446531195189703,182,Base60,60.0
237,0.23419894443173506,182,Base60,73.91
238,0.23866751722973217,182,Base60,86.45
239,0.28785023692158296,182,Base60,96.41
240,0.21484935479983058,182,Base60,102.8
241,0.21988880117927803,182,Base60,105.0
242,0.3121548188057372,183,Base60,15.0
243,0.3542005702561947,183,Base60,17.2
244,0.4547519149646275,183,Base60,23.59
245,0.6217572663484917,183,Base60,33.55
246,0.5783249835448104,183,Base60,46.09
247,0.4335260916840151,183,Base60,60.0
248,0.4145529270062517,183,Base60,73.91
249,0.29594288780404027,183,Base60,86.45
250,0.2633676730106541,183,Base60,96.41
251,0.2710262054733527,183,Base60,102.8
252,0.22547326273067925,183,Base60,105.0
253,0.3320743454140436,184,Base60,15.0
254,0.41681820165338546,184,Base60,17.2
255,0.486975296573496,184,Base60,23.59
256,0.5220860613591085,184,Base60,33.55
257,0.44491627651904486,184,Base60,46.09
258,0.35922925905237596,184,Base60,60.0
259,0.32012408738571674,184,Base60,73.91
260,0.2525318994247559,184,Base60,86.45
261,0.24252096255192782,184,Base60,96.41
262,0.16587601472429342,184,Base60,102.8
263,0.20156222086761827,184,Base60,105.0
